Date,Cotton Growth Stages and Crop Coefficients (Kc),temperature_2m_max ('C),temperature_2m_min,temperature_2m_mean(X),Normalized _temp_normlization,precipitation_sum,precipitation_normlization,wind_speed_10m_max,wind_speed_normlization,wind_gusts_10m_max,wind_gusts_normlization,shortwave_radiation_sum,shortwave_radiation_normlization,Etc(Threshold) of four Stages= Evat *Kc(As per stages),et0_fao_evapotranspiration,et0_fao_evapotranspiration__normlization,Max NDVI,Min NDVI,EVI,VHI,ClimateIndex,Average_Temperature,GDD,Water_Stress_Index_Normalization,Water_Stress_Index,Rescaled WSI,WSI(normalised with Preci),soil moisture  smc (iot sensor Average) %,soil moisture  smc (iot sensor Average) % NORMALIZED,waterdefcit,Irrigation_Required,Stage,Water requirmnet_Normalized (m3)
08/07/2023,0.75,34.6,26.1,30.8,0.4905660377,5.4,0.2076923077,21.7,0.2028081123,38.2,0.7573964497,18.18,0.3447946514,3.585,4.78,0.2481617647,0.411251981,0.06514745308,1.028129952,0.3461045279,0.32280369,30.35,15.35,0.2485399898,0.773963731,0.5388951526,0.7403347947,20.34,0.1674757282,0.1566,0,2,0.8325271708
16/07/2023,1,40.4,30.6,35.5,0.9339622642,0,0,20.7,0.1872074883,34.9,0.6597633136,22.01,0.7106017192,7.65,7.65,0.7757352941,0.3391788448,0.06512460416,0.847947112,0.2740542407,0.605074819,35.5,20.5,0.7760111271,1.238665803,0.8624577227,1.238665803,20.15,0.1559466019,0.1585,1,3,0.8440563255
23/07/2023,1,34.5,27.7,31,0.5094339623,26,1,25.3,0.2589703588,45.7,0.9792899408,18.37,0.3629417383,5.02,5.02,0.2922794118,0.4293145655,0.06368654908,1.073286414,0.3656280164,0.541163778,31.1,16.1,0.2926490738,0.812823834,0.5659526493,0.6509067358,26.23,0.5248786408,0.0977,0,3,0.4751233745
03/08/2023,1,36.3,28,32,0.6037735849,0,0,23.3,0.2277691108,39.2,0.7869822485,22.49,0.7564469914,5.84,5.84,0.4430147059,0.3974676175,0.08235294118,0.9936690438,0.3151146763,0.450808821,32.15,17.15,0.4433551135,0.945595855,0.6583990982,0.9455958549,27.51,0.6025485437,0.0849,0,3,0.3974532795
07/08/2023,1,38.2,26.5,32.1,0.6132075472,0,0,27.6,0.2948517941,46.1,0.9911242604,23,0.8051575931,6.68,6.68,0.5974264706,0.3129832045,0.1061496279,0.7824580112,0.2068335766,0.503947903,32.35,17.35,0.5977369103,1.081606218,0.7531003386,1.081606218,22.36,0.2900485437,0.1364,0,3,0.7099540522
12/08/2023,1,38.6,28.8,33.5,0.7452830189,0,0,25.2,0.2574102964,43.2,0.9053254438,22.31,0.7392550143,7.5,7.5,0.7481617647,0.4017713366,0.09416462708,1.004428341,0.3076067095,0.558174949,33.7,18.7,0.7484429489,1.214378238,0.8455467868,1.214378238,21.07,0.2117718447,0.1493,0,3,0.7882309448
17/08/2023,1,37.6,28.4,32.6,0.6603773585,0,0,19.8,0.1731669267,33.8,0.6272189349,22.67,0.7736389685,6.39,6.39,0.5441176471,0.4200351494,0.09194235843,1.050087873,0.328092791,0.494533494,33,18,0.5444384325,1.034650259,0.7204058625,1.034650259,22.23,0.2821601942,0.1377,0,3,0.7178424212
22/08/2023,1,39.3,30.4,34.6,0.8490566038,0,0,25.1,0.255850234,41.8,0.8639053254,22.16,0.7249283668,7.72,7.72,0.7886029412,0.35237833,0.1006963042,0.880945825,0.2516820258,0.590646978,34.85,19.85,0.788876277,1.25,0.8703494928,1.25,21.02,0.2087378641,0.1498,0,3,0.7912649329
29/08/2023,1,35.7,26,30.5,0.4622641509,0,0,22,0.2074882995,38.5,0.7662721893,21.94,0.7039159503,5.62,5.62,0.4025735294,0.4478510029,0.07854599207,1.119627507,0.3693050108,0.392188408,30.85,15.85,0.4029217855,0.909974093,0.6335963922,0.9099740933,22.72,0.3118932039,0.1328,0,3,0.688109338
05/09/2023,1,37.9,27.7,32.4,0.641509434,0,0,17.8,0.1419656786,31.7,0.5650887574,21.9,0.700095511,6.44,6.44,0.5533088235,0.4628811472,0.06404397642,1.157202868,0.3988371708,0.473728442,32.8,17.8,0.5536278252,1.042746114,0.7260428412,1.042746114,20.32,0.1662621359,0.1568,1,3,0.833740766
10/09/2023,0.65,41.9,27.8,35,0.8867924528,0,0,8.7,0,16.6,0.1183431953,21.92,0.7020057307,3.887,5.98,0.46875,0.4209009556,0.05949515097,1.052252389,0.3614058046,0.514387046,34.85,19.85,0.4690854132,0.968264249,0.6741826384,0.9682642487,19.21,0.09890776699,0.1679,0,4,0.9010953015
15/09/2023,0.65,39.3,30.3,34.6,0.8490566038,0,0,16.1,0.1154446178,32.8,0.5976331361,20.02,0.5205348615,4.342,6.68,0.5974264706,0.3128136501,0.04960760314,0.7820341251,0.2632060469,0.491754484,34.8,19.8,0.5977369103,1.081606218,0.7531003386,1.081606218,22.55,0.3015776699,0.1345,0,4,0.6984248975
20/09/2023,0.65,35.8,26.3,31.3,0.5377358491,2.3,0.08846153846,17.6,0.1388455538,34.9,0.6597633136,19.14,0.4364851958,3.4775,5.35,0.3529411765,0.4041828794,0.03839175557,1.010457198,0.3657911238,0.35390594,31.05,16.05,0.3532990658,0.866256477,0.6031567083,0.8519330411,20.14,0.1553398058,0.1586,0,4,0.8446631231
30/09/2023,0.65,34,24.6,28.5,0.2735849057,0,0,20.2,0.1794071763,33.8,0.6272189349,19.75,0.4947468959,3.822,5.88,0.4503676471,0.3386951169,0.05644758439,0.8467377924,0.2822475326,0.304674862,29.3,14.3,0.4507066277,0.952072539,0.6629086811,0.9520725389,21.27,0.223907767,0.1473,0,4,0.7760949924
10/10/2023,0.65,34.7,21.8,28.4,0.2641509434,0,0,17.6,0.1388455538,33.5,0.6183431953,18.71,0.3954154728,3.7765,5.81,0.4375,0.2896590817,0.05307735743,0.7241477043,0.2365817243,0.274266604,28.25,13.25,0.4378414779,0.940738342,0.6550169111,0.940738342,18.81,0.07463592233,0.1719,0,4,0.9253672062
15/10/2023,0.65,32.6,24.1,27.8,0.2075471698,0.3,0.01153846154,18.4,0.151326053,31,0.5443786982,17.45,0.2750716332,3.1005,4.77,0.2463235294,0.2402649863,0.04388926401,0.6006624657,0.1963757223,0.185120198,28.35,13.35,0.2467021112,0.77234456,0.5377677569,0.7704762854,18.07,0.02973300971,0.1793,0,4,0.9702702298
20/10/2023,0.65,33.9,20.8,26.8,0.1132075472,0.1,0.003846153846,10,0.02028081123,18,0.1597633136,16.48,0.182425979,2.5935,3.99,0.1029411765,0.2808644601,0.03660485934,0.7021611503,0.2442596008,0.100605214,27.35,12.35,0.1033475857,0.646049223,0.4498308908,0.6454264647,19,0.08616504854,0.17,0,4,0.9138380515
25/10/2023,0.65,32.4,20.1,25.6,0,0,0,11.4,0.04212168487,20.9,0.2455621302,16.63,0.1967526266,2.6325,4.05,0.1139705882,0.1721194879,0.02459016393,0.4302987198,0.147529324,0.077680804,26.25,11.25,0.114374857,0.655764249,0.4565952652,0.6557642487,17.58,0,0.1842,0,4,1.000003313
30/10/2023,0.65,33.3,19.9,26.4,0.07547169811,0,0,10.3,0.02496099844,12.6,0,14.57,0,2.2295,3.43,0,0.2173771559,0.02742292625,0.5434428897,0.1899542296,0.018867925,26.6,11.6,0.0004263881952,0.555375648,0.3866967308,0.5553756477,19.64,0.125,0.1636,0,4,0.875003004
